FT_UOP_CACHE_MISS_ICACHE_MISS_OFF_PATH_count, 183,          5546
FT_UOP_CACHE_MISS_ICACHE_MISS_OFF_PATH_total_count, 183,         11771

UOPS_SERVED_BY_ICACHE_ON_PATH_count, 184,       5161903
UOPS_SERVED_BY_ICACHE_ON_PATH_total_count, 184,      10332149

UOPS_SERVED_BY_UOP_CACHE_ON_PATH_count, 184,       7744909
UOPS_SERVED_BY_UOP_CACHE_ON_PATH_total_count, 184,      15478847

UOPS_SERVED_BY_ICACHE_OFF_PATH_count, 185,       8625786
UOPS_SERVED_BY_ICACHE_OFF_PATH_total_count, 185,      17555555

UOPS_SERVED_BY_UOP_CACHE_OFF_PATH_count, 185,      21662098
UOPS_SERVED_BY_UOP_CACHE_OFF_PATH_total_count, 185,      43378350

UOP_CACHE_FT_INSERTED_ONPATH_USED_ONPATH_count, 0,        120812
UOP_CACHE_FT_INSERTED_ONPATH_USED_ONPATH_total_count, 0,        239268

UOP_CACHE_FT_INSERTED_OFFPATH_USED_ONPATH_count, 0,        292051
UOP_CACHE_FT_INSERTED_OFFPATH_USED_ONPATH_total_count, 0,        586406

UOP_CACHE_LINE_INSERTED_ONPATH_USED_ONPATH_count, 0,        232259
UOP_CACHE_LINE_INSERTED_ONPATH_USED_ONPATH_total_count, 0,        458525

UOP_CACHE_LINE_INSERTED_OFFPATH_USED_ONPATH_count, 0,        529554
UOP_CACHE_LINE_INSERTED_OFFPATH_USED_ONPATH_total_count, 0,       1070039

UOP_CACHE_PREFETCH_count, 0,             0
UOP_CACHE_PREFETCH_total_count, 0,             0

UOP_CACHE_FT_INSERT_FAILED_INST_TOO_BIG_ON_PATH_count, 186,             0
UOP_CACHE_FT_INSERT_FAILED_INST_TOO_BIG_ON_PATH_total_count, 186,             0

UOP_CACHE_FT_INSERT_FAILED_FT_TOO_BIG_ON_PATH_count, 186,             0
UOP_CACHE_FT_INSERT_FAILED_FT_TOO_BIG_ON_PATH_total_count, 186,             0

UOP_CACHE_FT_SHORT_REUSE_CONFLICTED_ON_PATH_count, 186,         58909
UOP_CACHE_FT_SHORT_REUSE_CONFLICTED_ON_PATH_total_count, 186,        119374

UOP_CACHE_FT_INSERT_SUCCEEDED_ON_PATH_count, 186,        579261
UOP_CACHE_FT_INSERT_SUCCEEDED_ON_PATH_total_count, 186,       1160666

UOP_CACHE_FT_INSERT_FAILED_INST_TOO_BIG_OFF_PATH_count, 187,             0
UOP_CACHE_FT_INSERT_FAILED_INST_TOO_BIG_OFF_PATH_total_count, 187,             0

UOP_CACHE_FT_INSERT_FAILED_FT_TOO_BIG_OFF_PATH_count, 187,             0
UOP_CACHE_FT_INSERT_FAILED_FT_TOO_BIG_OFF_PATH_total_count, 187,             0

UOP_CACHE_FT_SHORT_REUSE_CONFLICTED_OFF_PATH_count, 187,         53991
UOP_CACHE_FT_SHORT_REUSE_CONFLICTED_OFF_PATH_total_count, 187,        106165

UOP_CACHE_FT_INSERT_SUCCEEDED_OFF_PATH_count, 187,        528623
UOP_CACHE_FT_INSERT_SUCCEEDED_OFF_PATH_total_count, 187,       1065864

UOP_CACHE_LINE_INSERT_FAILED_INST_TOO_BIG_ON_PATH_count, 188,             0
UOP_CACHE_LINE_INSERT_FAILED_INST_TOO_BIG_ON_PATH_total_count, 188,             0

UOP_CACHE_LINE_INSERT_FAILED_FT_TOO_BIG_ON_PATH_count, 188,             0
UOP_CACHE_LINE_INSERT_FAILED_FT_TOO_BIG_ON_PATH_total_count, 188,             0

UOP_CACHE_LINE_SHORT_REUSE_CONFLICTED_ON_PATH_count, 188,        148519
UOP_CACHE_LINE_SHORT_REUSE_CONFLICTED_ON_PATH_total_count, 188,        300133

UOP_CACHE_LINE_INSERT_SUCCEEDED_ON_PATH_count, 188,       1116677
UOP_CACHE_LINE_INSERT_SUCCEEDED_ON_PATH_total_count, 188,       2237035

UOP_CACHE_LINE_INSERT_FAILED_INST_TOO_BIG_OFF_PATH_count, 189,             0
UOP_CACHE_LINE_INSERT_FAILED_INST_TOO_BIG_OFF_PATH_total_count, 189,             0

UOP_CACHE_LINE_INSERT_FAILED_FT_TOO_BIG_OFF_PATH_count, 189,             0
UOP_CACHE_LINE_INSERT_FAILED_FT_TOO_BIG_OFF_PATH_total_count, 189,             0

UOP_CACHE_LINE_SHORT_REUSE_CONFLICTED_OFF_PATH_count, 189,         96302
UOP_CACHE_LINE_SHORT_REUSE_CONFLICTED_OFF_PATH_total_count, 189,        188198

UOP_CACHE_LINE_INSERT_SUCCEEDED_OFF_PATH_count, 189,       1141956
UOP_CACHE_LINE_INSERT_SUCCEEDED_OFF_PATH_total_count, 189,       2323261

UOP_CACHE_ICACHE_SWITCH_BR_NOT_TAKEN_RESTEERED_count, 190,             0
UOP_CACHE_ICACHE_SWITCH_BR_NOT_TAKEN_RESTEERED_total_count, 190,             0

UOP_CACHE_ICACHE_SWITCH_BR_NOT_TAKEN_CORRECT_PRED_count, 190,             0
UOP_CACHE_ICACHE_SWITCH_BR_NOT_TAKEN_CORRECT_PRED_total_count, 190,             0

UOP_CACHE_ICACHE_SWITCH_BR_TAKEN_RESTEERED_count, 190,             0
UOP_CACHE_ICACHE_SWITCH_BR_TAKEN_RESTEERED_total_count, 190,             0

UOP_CACHE_ICACHE_SWITCH_BR_TAKEN_CORRECT_PRED_count, 190,             0
UOP_CACHE_ICACHE_SWITCH_BR_TAKEN_CORRECT_PRED_total_count, 190,             0

UOP_CACHE_FT_LINES_1_ON_PATH_count, 191,        276855
UOP_CACHE_FT_LINES_1_ON_PATH_total_count, 191,        555016

UOP_CACHE_FT_LINES_2_ON_PATH_count, 191,        161699
UOP_CACHE_FT_LINES_2_ON_PATH_total_count, 191,        324968

UOP_CACHE_FT_LINES_3_ON_PATH_count, 191,        143140
